MUNICIPI,LATITUD,LONGITUD
Lleida,41.6147186037,0.6266927872
Sant Vicenç dels Horts,41.3932482204,2.0096039624
Forès,41.4923763882,1.2346043063
Granera,41.7517703,2.1206974
Cabrera d'Anoia,41.4776875747,1.7038667649
Tàrrega,41.64633,1.13877
Cogul,41.4669641711,0.6898166033
Planoles,42.3162885051,2.1039190451
Fígols i Alinyà,42.2023802,1.3388228
Castellfollit de la Roca,42.2192764604,2.5499722138
Ripollet,41.495768163,2.1549648509
Riudarenes,41.8225064352,2.717101427
Bruc,41.580657646,1.7797949389
Sant Llorenç de Morunys,42.1386032064,1.591758136
Sant Esteve de Palautordera,41.7032645995,2.4367665555
Plans de Sió,41.7614407281,1.1971651131
Cantallops,42.4228079844,2.926712682
Selva de Mar,42.3263170408,3.188122396
Aiguaviva,41.9383230115,2.7619512929
Àger,41.999219083,0.7635179698
Valls de Valira,42.4295169415,1.4649878037
Viladecavalls,41.5550799,1.95417
Tiurana,41.9758195118,1.2555606257
Quart,42.1372262,1.9312123
Parets del Vallès,41.5731143,2.2338358
Vilaverd,41.3366079416,1.1786465125
Os de Balaguer,41.87142,0.7194199
Ger,42.4105973,1.8454019
Pontons,41.4155234162,1.5168897606
Montornès de Segarra,41.6008730016,1.2299910486
Cadaqués,42.2874612027,3.2772056973
Rourell,41.2249552932,1.2178196208
Oliola,41.8517134,1.2164921
Gósol,42.2370879335,1.6604939368
Verdú,41.6103233605,1.143170224
Setcases,42.3747768845,2.3014948099
Sant Feliu de Pallerols,42.0753384685,2.5067528533
Armentera,42.1715648011,3.0721813322
Sant Jaume dels Domenys,41.2992066369,1.5589370148
Torre de Claramunt,41.5335235372,1.6582692055
Talarn,42.185383906,0.9000603153
Súria,41.830958404,1.7541929194
Espinelves,41.8686856588,2.4175285384
Pontós,42.1879709433,2.9182545896
Gurb,41.9406474424,2.2433459341
Ametlla del Vallès,41.6695344254,2.2614312974
Coll de Nargó,42.1734843377,1.3156882599
Ulldecona,40.5981476,0.4486629
Montclar,42.020176159,1.7650638246
Vilalba Sasserra,41.6529230758,2.4411025762
Castellet i la Gornal,41.25329,1.59049
Ribera d'Urgellet,42.3141065283,1.3819866386
Muntanyola,41.8803858697,2.1797196482
Prats i Sansor,42.3649509056,1.8368389655
